supplier_id,supplier_name,supplier_region,country,supplier_type,quality_rating,reliability_score,payment_terms_days,average_lead_time_days,on_time_delivery_rate,defect_rate,capacity_units_per_month,supplier_status
SUP060,Wrenfield Holdings,East Asia,China,Wholesaler,4,63.9,30,29,0.8825,0.0309,25685,Active
SUP061,Everline Manufacturing,North America,Mexico,Contract Packager,4,84.3,45,17,0.9394,0.0183,24412,Active
SUP062,Driftline Enterprises,South Asia,India,Distributor,4,90.4,15,43,0.9682,0.0054,6739,Active
SUP063,Sterling Corporation,North America,United States,Distributor,5,99.4,45,3,0.995,0.0015,21958,Active
SUP064,Everline Trading Co.,Europe,Germany,Manufacturer,3,44.4,60,11,0.8154,0.0458,138252,Probation
SUP065,Marlowe Components,North America,United States,Wholesaler,4,70.4,60,11,0.8748,0.0244,39063,Active
SUP066,Foundry Row Components,North America,United States,Manufacturer,4,76.3,30,5,0.9203,0.0204,6324,Active
SUP067,Silvertip Enterprises,North America,United States,Manufacturer,4,75.2,60,12,0.9381,0.0191,4968,Active
SUP068,Ivywood Trading Co.,Southeast Asia,Vietnam,Distributor,4,86.8,15,29,0.9604,0.0143,201691,Active
SUP069,Ashgrove Supply Co.,East Asia,China,Manufacturer,4,73.8,30,34,0.8856,0.0236,26799,Active
SUP070,Dunmore Enterprises,South Asia,India,Manufacturer,4,61.0,60,28,0.8858,0.0278,14122,Active
SUP071,Ashgrove Components,East Asia,South Korea,Manufacturer,3,57.2,15,28,0.8671,0.025,21697,Active
SUP072,Driftline Trading Co.,South Asia,India,Manufacturer,3,52.1,15,33,0.833,0.0374,5438,Probation
SUP073,Timbergate Fabrication,Europe,Italy,Wholesaler,3,49.8,15,22,0.8382,0.0335,152750,Probation
SUP074,Crestmark Ltd.,Southeast Asia,Vietnam,Manufacturer,4,82.0,45,25,0.9474,0.0196,18920,Active
SUP075,Ivywood Inc. (2),East Asia,China,Wholesaler,4,97.2,60,24,0.9828,0.0033,143274,Active
SUP076,Comet Corporation,Southeast Asia,Vietnam,Manufacturer,4,93.2,30,34,0.9789,0.0057,31552,Active
SUP077,Ivywood Components,Southeast Asia,Vietnam,Distributor,4,91.0,30,21,0.9869,0.0068,153885,Active
SUP078,Ivywood Manufacturing,North America,United States,Manufacturer,3,67.9,45,19,0.9556,0.0247,39943,Active
SUP079,BlueStone Corporation,North America,United States,Contract Packager,4,70.6,30,19,0.8627,0.0307,79318,Active
SUP080,Ashgrove Components (2),Europe,Germany,Manufacturer,5,88.8,45,5,0.947,0.0111,67979,Active
SUP081,Marlowe Corporation,North America,United States,Manufacturer,4,97.6,60,8,0.968,0.0042,60888,Active
SUP082,Quinlan Holdings,South Asia,India,Manufacturer,5,91.8,45,11,0.9391,0.0093,44361,Active
SUP083,Vantage Industries,Europe,Germany,Manufacturer,3,48.8,60,18,0.8266,0.0386,22748,Probation
SUP084,Ivywood Corporation,East Asia,China,Manufacturer,4,72.8,45,45,0.9123,0.0219,269076,Active
SUP085,Foundry Row Global,East Asia,China,Distributor,4,64.1,60,46,0.8755,0.0277,10478,Active
SUP086,Delta Corporation,East Asia,China,Contract Packager,4,82.5,30,51,0.9583,0.0092,29880,Active
SUP087,Cedarwood Enterprises,North America,Canada,Distributor,4,82.1,15,8,0.9603,0.0099,30246,Active
SUP088,Wrenfield Corporation,South Asia,India,Manufacturer,4,76.9,45,42,0.9242,0.0158,47231,Active
SUP089,Amberton Inc.,East Asia,China,Manufacturer,5,100.0,15,31,0.9862,0.0059,18144,Active
SUP090,Everline Industries,South Asia,Bangladesh,Wholesaler,4,96.1,60,25,0.9741,0.0113,42700,Active
SUP091,Dunmore Corporation,East Asia,China,Wholesaler,5,87.1,45,23,0.9641,0.0057,24485,Active
SUP092,Delta Trading Co.,North America,Mexico,Manufacturer,3,49.2,90,11,0.8768,0.0491,4821,Probation
SUP093,Everline Global,South Asia,India,Contract Packager,4,84.6,30,19,0.9337,0.0154,30061,Active
SUP094,Amberton Trading Co. (2),South Asia,India,Manufacturer,3,40.0,30,54,0.7841,0.0478,8386,Probation
SUP095,Pacific Rim Fabrication,Southeast Asia,Vietnam,Wholesaler,4,71.9,45,45,0.8872,0.0238,4046,Active
SUP096,Coral Bay Holdings,North America,United States,Contract Packager,5,86.5,30,7,0.9393,0.0055,34801,Active
SUP097,Jasperline Ltd.,Southeast Asia,Indonesia,Distributor,3,55.0,45,48,0.8566,0.0374,52108,Probation
SUP098,Kingsford Manufacturing,East Asia,China,Manufacturer,2,46.0,45,51,0.8434,0.0408,54486,Probation
SUP099,Highmoor Trading Co.,East Asia,China,Distributor,5,85.9,90,19,0.9374,0.0157,57082,Active
SUP100,Ironbridge Fabrication,Middle East,Turkey,Manufacturer,3,56.3,45,17,0.9216,0.035,3221,Active
SUP101,Sterling Holdings,Europe,Poland,Wholesaler,3,57.2,30,14,0.8704,0.0368,6216,Probation
SUP102,Elmsworth Inc.,North America,Mexico,Manufacturer,3,67.3,30,16,0.8977,0.0329,287664,Active
SUP103,Novagen Enterprises,Southeast Asia,Vietnam,Distributor,4,87.7,45,22,0.9448,0.0066,8917,Active
SUP104,Brightfield Supply Co.,Middle East,Turkey,Wholesaler,3,56.5,30,25,0.857,0.0344,60022,Active
SUP105,Delta Industries,Europe,Germany,Manufacturer,5,84.5,30,13,0.9707,0.0046,13494,Active
SUP106,Vaultis Group,North America,Mexico,Manufacturer,5,90.9,30,12,0.9701,0.0111,32586,Active
SUP107,Rockford Ltd.,South Asia,India,Distributor,4,69.5,30,20,0.8712,0.0302,14354,Active
SUP108,Jasperline Holdings,Southeast Asia,Vietnam,Manufacturer,4,59.4,45,57,0.8867,0.0281,56714,Active
SUP109,Delta Holdings (2),East Asia,China,Manufacturer,3,62.5,30,37,0.8762,0.0258,34797,Active
SUP110,Fernway Inc.,Europe,Poland,Manufacturer,5,96.6,45,7,0.9812,0.0011,17756,Active
SUP111,Marlowe Group,South Asia,India,Manufacturer,3,53.1,30,58,0.8501,0.0387,8887,Active
SUP112,Coral Bay Holdings (2),East Asia,South Korea,Distributor,3,48.7,45,27,0.8368,0.0417,40455,Probation
SUP113,Vaultis Ltd.,Southeast Asia,Vietnam,Distributor,4,78.9,30,46,0.9128,0.0222,7371,Active
SUP114,Ashford Group,North America,United States,Manufacturer,5,98.8,60,7,0.9812,0.0074,48611,Active
SUP115,Brightfield Trading Co.,East Asia,South Korea,Manufacturer,4,92.2,15,39,0.9809,0.0087,609539,Active
SUP116,Crestmark Ltd. (2),Europe,Italy,Manufacturer,3,48.7,45,13,0.8557,0.0474,140462,Probation
SUP117,Quinlan Enterprises,North America,Canada,Manufacturer,4,65.1,30,11,0.8964,0.028,67921,Active
SUP118,Ivywood Inc. (3),North America,Mexico,Distributor,2,32.0,30,18,0.7832,0.0596,26945,Probation
SUP119,Vaultis Corporation,South Asia,India,Manufacturer,3,51.3,30,42,0.8558,0.0413,3198,Probation
SUP120,Amberton Enterprises,North America,United States,Manufacturer,4,72.0,60,11,0.9266,0.0247,6499,Active
SUP121,Comet Corporation (2),North America,United States,Contract Packager,4,77.5,60,14,0.9109,0.0196,129990,Active
SUP122,Vantage Trading Co.,North America,United States,Manufacturer,2,25.9,30,14,0.7999,0.0554,11989,Inactive
SUP123,Graystone Ltd.,East Asia,China,Distributor,4,78.1,30,55,0.9402,0.0254,13305,Active
SUP124,Everline Inc. (2),South Asia,India,Manufacturer,3,61.4,45,46,0.8976,0.0341,24575,Active
SUP125,Vaultis Inc.,East Asia,China,Manufacturer,3,32.7,45,17,0.8641,0.0476,8766,Probation
SUP126,Driftline Manufacturing,South Asia,India,Manufacturer,4,78.0,30,51,0.8951,0.0229,7253,Active
SUP127,Ironbridge Manufacturing (2),Southeast Asia,Indonesia,Distributor,4,63.8,45,33,0.9205,0.0186,28056,Active
SUP128,Ashgrove Group (3),East Asia,China,Wholesaler,5,94.4,45,17,0.9811,0.004,10665,Active
SUP129,Novagen Fabrication,East Asia,China,Manufacturer,3,71.8,45,37,0.8943,0.0312,12681,Active
SUP130,Crestmark Global,North America,United States,Manufacturer,3,56.1,30,13,0.8532,0.0367,12108,Active
SUP131,Palisade Components,East Asia,China,Manufacturer,4,79.3,30,22,0.9173,0.008,54215,Active
SUP132,Calderon Trading Co.,Latin America,Brazil,Distributor,4,69.7,30,34,0.9167,0.0212,22767,Active
SUP133,Highmoor Ltd.,North America,United States,Distributor,4,89.4,45,11,0.932,0.0184,24213,Active
SUP134,Timbergate Corporation,Southeast Asia,Indonesia,Distributor,4,57.0,30,26,0.8892,0.0286,59071,Active
SUP135,Vaultis Ltd. (2),North America,United States,Wholesaler,5,92.5,45,9,0.9393,0.0055,25252,Active
SUP136,Dunmore Ltd.,East Asia,China,Manufacturer,3,46.7,45,50,0.814,0.0489,21590,Probation
SUP137,Harborlight Group,Middle East,Turkey,Distributor,4,73.5,45,45,0.9316,0.0206,51073,Active
SUP138,Harborlight Industries,South Asia,India,Distributor,3,73.2,15,17,0.9221,0.0205,64115,Active
SUP139,Driftline Fabrication,Europe,Germany,Manufacturer,3,36.2,30,12,0.8284,0.0473,25106,Inactive
SUP140,Timbergate Enterprises (2),East Asia,China,Wholesaler,4,69.5,30,25,0.9351,0.0314,32621,Active
SUP141,Timbergate Manufacturing,South Asia,India,Manufacturer,2,33.3,45,20,0.7936,0.0545,12100,Inactive
SUP142,Ashford Ltd.,South Asia,India,Distributor,4,65.9,60,40,0.9208,0.0263,11050,Active
SUP143,Dunmore Inc.,Latin America,Brazil,Distributor,4,76.0,30,46,0.9034,0.0207,72007,Active
SUP144,Novagen Components (2),North America,United States,Wholesaler,5,86.5,60,20,0.9351,0.0101,49597,Active
SUP145,Ivywood Enterprises,South Asia,India,Manufacturer,4,89.3,30,32,0.9758,0.0144,50191,Active
SUP146,Ashgrove Ltd.,Southeast Asia,Vietnam,Manufacturer,4,63.9,30,44,0.8824,0.0251,41068,Active
SUP147,Marlowe Global (2),Southeast Asia,Indonesia,Wholesaler,4,71.3,15,22,0.8674,0.0322,31355,Active
SUP148,Timbergate Enterprises (3),South Asia,Bangladesh,Wholesaler,2,47.1,45,26,0.8363,0.0403,66229,Probation
SUP149,Palisade Components (2),South Asia,India,Manufacturer,4,64.3,30,59,0.8983,0.021,87149,Active
SUP150,Comet Holdings,East Asia,China,Distributor,4,79.6,30,44,0.9205,0.0173,84788,Active
SUP151,Coral Bay Components (2),Europe,Germany,Manufacturer,5,88.7,45,25,0.9604,0.0098,26479,Active
SUP152,Highmoor Ltd. (2),Europe,Poland,Distributor,4,70.0,45,9,0.9424,0.0225,146538,Active
SUP153,Coral Bay Industries,East Asia,China,Wholesaler,3,57.6,15,47,0.8498,0.0363,38667,Active
SUP154,Sterling Global,North America,United States,Manufacturer,4,74.7,15,12,0.9029,0.0166,61527,Active
SUP155,Cedarwood Components (2),East Asia,China,Manufacturer,4,62.5,45,40,0.9253,0.0265,41126,Active
SUP156,Rockford Group,North America,Mexico,Contract Packager,4,84.3,30,20,0.9587,0.0125,39500,Active
SUP157,Timbergate Ltd. (2),Southeast Asia,Vietnam,Wholesaler,4,56.6,30,16,0.8726,0.0285,12758,Active
SUP158,Marlowe Group (2),North America,United States,Wholesaler,4,64.0,45,23,0.8627,0.0265,66606,Active
SUP159,Kingsford Manufacturing (2),North America,Canada,Manufacturer,4,64.8,30,13,0.8836,0.0323,783941,Active
SUP160,Palisade Enterprises,Europe,Germany,Contract Packager,4,71.6,45,15,0.9167,0.0159,19322,Active
SUP161,Quinlan Industries,East Asia,China,Manufacturer,4,79.4,30,42,0.9303,0.0255,32262,Active
SUP162,Elmsworth Corporation,Latin America,Brazil,Manufacturer,4,79.3,30,51,0.9085,0.0129,17798,Active
SUP163,Pacific Rim Industries,Southeast Asia,Vietnam,Manufacturer,3,43.0,30,43,0.82,0.0467,16963,Inactive
SUP164,Rockford Supply Co. (2),East Asia,China,Wholesaler,4,60.9,30,24,0.9106,0.0253,175627,Active
SUP165,Amberton Fabrication,North America,United States,Wholesaler,4,68.7,15,8,0.8591,0.0178,13713,Active
SUP166,Dunmore Supply Co.,Southeast Asia,Indonesia,Distributor,5,97.2,30,35,0.995,0.0056,17237,Active
SUP167,Elmsworth Corporation (2),Europe,Germany,Distributor,4,83.5,60,22,0.9304,0.0101,4790,Active
SUP168,Vaultis Components,Europe,Germany,Manufacturer,4,72.3,60,7,0.9058,0.0198,12441,Active
SUP169,Vaultis Enterprises,Southeast Asia,Vietnam,Manufacturer,4,89.3,30,28,0.9779,0.0086,4169,Active
SUP170,Wrenfield Fabrication (2),Latin America,Brazil,Manufacturer,4,76.6,45,27,0.9471,0.0233,61487,Active
SUP171,Rockford Holdings,Southeast Asia,Vietnam,Manufacturer,4,82.6,45,52,0.9573,0.0178,743892,Active
SUP172,Cedarwood Corporation,South Asia,Bangladesh,Manufacturer,5,90.3,60,45,0.9124,0.0107,19503,Active
SUP173,Crestmark Components,Southeast Asia,Vietnam,Wholesaler,5,93.2,30,42,0.9619,0.005,4373,Active
SUP174,Brightfield Holdings,Latin America,Brazil,Distributor,4,73.5,30,26,0.9191,0.0254,83700,Active
SUP175,Silvertip Supply Co.,East Asia,China,Wholesaler,5,93.1,30,46,0.9688,0.0112,12888,Active
SUP176,Cedarwood Industries,East Asia,China,Manufacturer,4,52.5,15,47,0.8702,0.0399,132488,Active
SUP177,Ivywood Fabrication,South Asia,India,Manufacturer,4,89.3,30,19,0.9691,0.0086,21497,Active
SUP178,Marlowe Corporation (2),Middle East,Turkey,Manufacturer,4,79.5,60,45,0.9399,0.019,14377,Active
SUP179,Timbergate Global,Europe,Poland,Manufacturer,4,79.7,60,20,0.9277,0.0185,24230,Active
SUP180,Cedarwood Components (3),North America,Canada,Manufacturer,4,60.9,30,17,0.8447,0.0254,71072,Active
SUP181,Kingsford Trading Co.,Europe,Poland,Manufacturer,5,96.9,30,11,0.9627,0.0078,22890,Active
SUP182,Cedarwood Ltd.,Europe,Poland,Manufacturer,4,85.3,30,9,0.9584,0.0191,16794,Active
SUP183,Kestrel Fabrication (2),South Asia,Bangladesh,Distributor,4,78.5,30,21,0.9094,0.0193,23655,Active
SUP184,Highmoor Trading Co. (2),Southeast Asia,Vietnam,Manufacturer,4,71.0,45,21,0.9174,0.029,6887,Active
SUP185,Foundry Row Components (2),Europe,Germany,Manufacturer,3,48.4,15,15,0.8387,0.0479,46938,Inactive
SUP186,Cedarwood Holdings (2),North America,United States,Manufacturer,4,83.3,60,11,0.9595,0.0102,3810,Active
SUP187,NorthPoint Corporation,Southeast Asia,Indonesia,Manufacturer,3,53.5,90,32,0.7848,0.0416,17841,Probation
SUP188,Novagen Inc.,East Asia,China,Manufacturer,5,83.9,45,25,0.9398,0.0057,71203,Active
SUP189,Vaultis Supply Co.,North America,Canada,Manufacturer,5,90.1,45,2,0.995,0.0071,42130,Active
SUP190,Ashgrove Components (3),Southeast Asia,Vietnam,Distributor,4,91.0,45,49,0.9346,0.0173,58622,Active
SUP191,Everline Group,Latin America,Brazil,Manufacturer,3,57.9,30,44,0.8225,0.0402,27590,Active
SUP192,Ashford Trading Co.,Southeast Asia,Vietnam,Wholesaler,3,53.6,30,64,0.8782,0.0355,114143,Probation
SUP193,Ashgrove Ltd. (2),East Asia,China,Manufacturer,4,75.2,45,33,0.9249,0.0221,86112,Active
SUP194,Ashford Corporation,Europe,Germany,Manufacturer,4,80.5,15,3,0.9551,0.0167,49665,Active
SUP195,Sterling Global (2),East Asia,China,Manufacturer,3,34.5,60,49,0.8085,0.0531,86394,Probation
SUP196,Driftline Global,East Asia,South Korea,Manufacturer,4,72.6,30,34,0.929,0.0219,70473,Active
SUP197,Quinlan Group,North America,United States,Manufacturer,3,38.4,30,16,0.8221,0.0519,17937,Inactive
SUP198,Cedarwood Enterprises (2),Europe,Italy,Wholesaler,3,63.6,30,19,0.8961,0.0309,6339,Active
SUP199,Everline Manufacturing (2),East Asia,South Korea,Manufacturer,4,73.1,90,40,0.9663,0.0245,48215,Active
SUP200,Cedarwood Manufacturing,Southeast Asia,Vietnam,Distributor,3,39.7,30,62,0.844,0.0472,55715,Inactive
SUP201,Vantage Industries (2),Europe,Germany,Manufacturer,3,47.2,30,15,0.8212,0.0405,104197,Probation
SUP202,Meridian Enterprises,Middle East,Turkey,Manufacturer,4,69.4,30,31,0.9055,0.0243,10130,Active
SUP203,Meridian Trading Co.,South Asia,Bangladesh,Manufacturer,3,61.4,45,33,0.8945,0.04,10484,Active
SUP204,Novagen Corporation,East Asia,China,Manufacturer,4,72.5,90,18,0.9316,0.0252,50457,Active
SUP205,Meridian Components,East Asia,China,Manufacturer,4,93.4,30,52,0.9511,0.0118,27396,Active
SUP206,Ironbridge Global (2),Southeast Asia,Vietnam,Contract Packager,4,84.7,60,20,0.9678,0.009,3399,Active
SUP207,Rockford Enterprises,East Asia,China,Distributor,4,71.6,30,29,0.9216,0.0226,45770,Active
SUP208,Pacific Rim Industries (2),North America,Mexico,Contract Packager,4,87.6,45,11,0.995,0.0159,3532,Active
SUP209,Silvertip Ltd.,East Asia,China,Manufacturer,5,77.4,15,21,0.9104,0.0198,10026,Active
SUP210,Silvertip Inc.,South Asia,Bangladesh,Wholesaler,3,70.7,30,24,0.901,0.0171,140707,Active
SUP211,Quinlan Global,North America,Mexico,Distributor,3,57.8,45,24,0.8357,0.0447,242465,Probation
SUP212,Timbergate Supply Co.,North America,United States,Distributor,3,65.7,45,11,0.8861,0.0254,7347,Active
SUP213,Elmsworth Corporation (3),East Asia,South Korea,Contract Packager,4,71.5,30,39,0.8973,0.026,20357,Active
SUP214,Sterling Holdings (2),Europe,Germany,Distributor,3,52.9,60,13,0.7931,0.0396,31226,Probation
SUP215,Ashford Manufacturing,North America,Mexico,Wholesaler,4,85.8,90,12,0.9373,0.014,230593,Active
SUP216,Ironbridge Ltd.,North America,Canada,Distributor,4,63.3,30,10,0.9072,0.0295,16868,Active
SUP217,Wrenfield Holdings (2),East Asia,China,Manufacturer,4,70.1,45,46,0.8805,0.0258,17181,Active
SUP218,Highmoor Corporation (2),East Asia,China,Distributor,5,95.9,45,51,0.995,0.0014,176493,Active
SUP219,Jasperline Components,Latin America,Brazil,Manufacturer,5,88.2,30,20,0.969,0.0067,19322,Active
SUP220,Rockford Corporation,South Asia,India,Wholesaler,3,38.4,60,62,0.8235,0.056,68223,Probation
SUP221,Fernway Corporation,Southeast Asia,Vietnam,Wholesaler,5,98.6,30,43,0.9839,0.001,5439,Active
SUP222,Fernway Industries,South Asia,India,Manufacturer,4,85.9,45,41,0.9804,0.0036,24418,Active
SUP223,Sterling Supply Co.,North America,United States,Manufacturer,3,75.6,30,22,0.9043,0.0287,4409,Active
SUP224,Amberton Ltd.,Latin America,Brazil,Manufacturer,4,74.7,30,49,0.9364,0.0216,8833,Active
SUP225,Foundry Row Manufacturing,Southeast Asia,Vietnam,Manufacturer,3,48.6,45,53,0.8422,0.0406,78048,Probation
SUP226,Everline Trading Co. (2),Latin America,Brazil,Manufacturer,3,61.6,45,41,0.8701,0.0311,28074,Active
SUP227,Calderon Components,East Asia,China,Distributor,3,52.3,60,41,0.8572,0.0374,20600,Probation
SUP228,Elmsworth Fabrication,North America,United States,Distributor,4,83.2,90,18,0.9357,0.0146,12568,Active
SUP229,Ironbridge Inc.,North America,United States,Wholesaler,4,67.9,30,20,0.9125,0.0275,23069,Active
SUP230,Jasperline Enterprises (2),East Asia,China,Manufacturer,4,84.7,30,40,0.9836,0.013,42036,Active
SUP231,Delta Trading Co. (2),East Asia,China,Manufacturer,4,85.6,30,18,0.9374,0.0192,92075,Active
SUP232,Jasperline Holdings (2),South Asia,India,Manufacturer,5,89.6,30,31,0.9681,0.0076,1453,Active
SUP233,Calderon Enterprises,Middle East,Turkey,Wholesaler,1,17.2,30,27,0.7843,0.0619,11424,Inactive
SUP234,Everline Trading Co. (3),North America,United States,Manufacturer,4,74.2,60,8,0.9365,0.0268,35702,Active
SUP235,Vaultis Supply Co. (2),Latin America,Brazil,Manufacturer,5,85.9,45,43,0.9503,0.0129,26537,Active
SUP236,Ironbridge Trading Co.,Europe,Germany,Manufacturer,5,86.9,15,2,0.9198,0.006,47282,Active
SUP237,Dunmore Group,South Asia,India,Wholesaler,4,80.6,30,34,0.961,0.0117,40444,Active
SUP238,Ashford Inc.,Europe,Germany,Manufacturer,3,57.7,45,6,0.8163,0.0406,20940,Active
SUP239,Cedarwood Group,East Asia,China,Distributor,4,62.2,30,33,0.9399,0.0274,16222,Active
SUP240,Ironbridge Fabrication (2),East Asia,China,Distributor,5,97.1,30,32,0.9825,0.002,22419,Active
SUP241,Comet Enterprises,Europe,Germany,Distributor,2,25.8,30,23,0.8003,0.0581,111419,Probation
SUP242,Vantage Inc. (2),Europe,Germany,Manufacturer,4,90.8,30,8,0.9302,0.0131,12813,Active
SUP243,Silvertip Inc. (2),Southeast Asia,Vietnam,Manufacturer,4,79.2,30,38,0.9045,0.0133,27661,Active
