product_id,sku,product_name,category,subcategory,brand,unit_cost,selling_price,supplier_id,standard_lead_time_days,minimum_order_quantity,shelf_life_days,is_seasonal,launch_date,product_status
P00015,BEA-00015-8514,Aurelia Essential Eau de Parfum,Beauty,Fragrances,Aurelia,28.84,52.99,SUP164,28,131,434.0,False,2024-06-12,Active
P00016,BEA-00016-5783,Cedarwood Everyday Plus Bath Bomb Set,Beauty,Bath & Body,Cedarwood,11.7,24.99,SUP093,18,174,449.0,True,2024-05-13,Seasonal
P00017,ELE-00017-3188,Glacier Premium Wireless Mouse,Electronics,Laptop Accessories,Glacier,24.2,51.99,SUP274,21,92,,False,2025-11-09,Active
P00018,GRO-00018-6544,Novara Series 2 Breakfast Bar Box,Grocery,Breakfast Foods,Novara,2.68,4.07,SUP288,37,691,116.0,False,2026-06-29,Active
P00019,ELE-00019-9591,Harborlight Deluxe Action Camera,Electronics,Cameras & Accessories,Harborlight,79.82,156.99,SUP093,17,66,,True,2025-11-27,Seasonal
P00020,ELE-00020-2557,Novara Elite Wireless Mouse,Electronics,Laptop Accessories,Novara,12.08,18.99,SUP274,20,248,,True,2026-02-21,Seasonal
P00021,CLO-00021-5724,Comet X200 High-Waist Jeans,Clothing,Women's Apparel,Comet,22.3,43.99,SUP236,2,159,,False,2026-04-10,Active
P00022,ELE-00022-7365,Comet Premium Wireless Charger,Electronics,Mobile Accessories,Comet,180.88,317.99,SUP052,49,35,,False,2026-05-15,Active
P00023,ELE-00023-4788,Ostrom Deluxe Wireless Earbuds,Electronics,Headphones & Audio,Ostrom,30.11,48.99,SUP159,13,84,,False,2025-12-21,Active
P00024,CLO-00024-3062,Willowbrook Elite Ankle Boots,Clothing,Footwear,Willowbrook,51.85,114.99,SUP102,19,142,,False,2025-12-10,Active
P00025,BEA-00025-3593,UrbanNest Signature Makeup Brush Set,Beauty,Makeup,UrbanNest,14.32,38.99,SUP241,27,185,235.0,True,2025-12-21,Seasonal
P00026,HOM-00026-4746,Glacier Ultra Cookware Set,Home & Kitchen,Cookware,Glacier,4.01,8.99,SUP270,25,355,,False,2024-10-21,Active
P00027,ELE-00027-6643,Cedarwood Essential Laptop Sleeve,Electronics,Laptop Accessories,Cedarwood,80.4,163.99,SUP171,45,52,,True,2025-05-07,Seasonal
P00028,HOM-00028-6380,Ashford Lite Area Rug,Home & Kitchen,Home Decor,Ashford,22.57,50.99,SUP171,47,94,,False,2024-07-21,Active
P00029,HOM-00029-6209,Lumino Advanced Area Rug,Home & Kitchen,Home Decor,Lumino,10.88,24.99,SUP210,22,291,,False,2025-04-29,Active
P00030,TOY-00030-4271,Ridgeline Max Magnetic Tile Set,Toys,Building Sets,Ridgeline,6.32,13.99,SUP148,29,438,,False,2025-04-11,Active
P00031,PER-00031-8424,Quinley Everyday Plus Electric Toothbrush,Personal Care,Oral Care,Quinley,8.98,16.99,SUP137,54,214,122.0,False,2024-03-03,Active
P00032,BEA-00032-4984,Kestrel Premium Fragrance Gift Set,Beauty,Fragrances,Kestrel,2.42,5.99,SUP159,13,532,390.0,False,2024-03-16,Active
P00033,BEA-00033-9232,BlueStone Pro Hair Dryer,Beauty,Haircare,BlueStone,9.69,23.99,SUP245,15,287,161.0,True,2026-05-17,Seasonal
P00034,SPO-00034-3859,Novara Lite Adjustable Dumbbell Set,Sports,Fitness Equipment,Novara,8.51,13.99,SUP176,41,199,,True,2025-05-18,Seasonal
P00035,BOO-00035-7717,Trailhaven Everyday Plus Activity Book,Books,Children's Books,Trailhaven,7.1,10.99,SUP028,54,274,,True,2024-01-30,Seasonal
P00036,HOM-00036-6002,Norwell Deluxe Coffee Maker,Home & Kitchen,Small Appliances,Norwell,35.0,59.99,SUP028,58,127,,False,2024-12-03,Active
P00037,ELE-00037-2664,Ironclad Elite Over-Ear Headphones,Electronics,Headphones & Audio,Ironclad,80.25,110.99,SUP115,42,91,,False,2026-03-23,Active
P00038,BEA-00038-1800,Aurelia Advanced Loofah & Soap Set,Beauty,Bath & Body,Aurelia,6.13,14.99,SUP185,16,472,73.0,False,2025-10-25,Active
P00039,CLO-00039-2192,Copperfield Max High-Waist Jeans,Clothing,Women's Apparel,Copperfield,10.59,24.99,SUP109,38,247,,False,2026-01-21,Active
P00040,HOM-00040-5220,Everline Series 2 Area Rug,Home & Kitchen,Home Decor,Everline,17.92,40.99,SUP104,25,147,,False,2025-07-24,Active
P00041,GRO-00041-5824,Foundry Everyday Herbal Tea Sampler,Grocery,Beverages,Foundry,5.24,8.99,SUP270,21,412,380.0,False,2025-09-30,Active
P00042,GRO-00042-7072,Ironclad Pro Trail Mix,Grocery,Snacks,Ironclad,3.66,5.99,SUP261,63,297,488.0,True,2024-08-12,Seasonal
P00043,GRO-00043-2382,Glacier Elite Hot Sauce Set,Grocery,Condiments & Sauces,Glacier,4.84,8.99,SUP138,18,219,72.0,False,2026-02-06,Active
P00044,CLO-00044-2658,Glacier Series 2 Training Jacket,Clothing,Activewear,Glacier,23.97,62.99,SUP210,23,141,,False,2025-10-30,Active
P00045,SPO-00045-6553,Vaultis Max Shin Guards,Sports,Team Sports Gear,Vaultis,6.95,12.99,SUP122,14,197,,False,2024-08-06,Discontinued
P00046,CLO-00046-6190,Aurelia Essential Running Shoes,Clothing,Footwear,Aurelia,61.21,123.99,SUP171,46,92,,False,2024-10-10,Active
P00047,HOM-00047-2454,Kestrel Classic Sheet Set,Home & Kitchen,Bedding & Linens,Kestrel,53.54,92.99,SUP068,25,86,,False,2025-11-30,Active
P00048,ELE-00048-6242,Trailhaven Essential Laptop Stand,Electronics,Laptop Accessories,Trailhaven,31.91,61.99,SUP148,23,180,,False,2024-08-14,Active
P00049,AUT-00049-3089,Pinnacle Ultra Socket Wrench Set,Automotive,Tools & Equipment,Pinnacle,21.97,38.99,SUP176,54,120,,False,2025-09-02,Active
P00050,CLO-00050-3766,Cedarwood Series 2 Denim Jacket,Clothing,Men's Apparel,Cedarwood,13.48,25.99,SUP117,10,253,,False,2025-01-16,Active
P00051,ELE-00051-1753,Glacier Advanced Lens Filter Set,Electronics,Cameras & Accessories,Glacier,23.78,38.99,SUP218,61,176,,False,2024-09-18,Active
P00052,GRO-00052-1621,Cedarwood Deluxe Sports Drink Case,Grocery,Beverages,Cedarwood,2.79,4.2,SUP068,28,734,503.0,False,2024-05-23,Active
P00053,TOY-00053-8533,Driftwood Deluxe Counting Puzzle,Toys,Educational Toys,Driftwood,13.7,22.99,SUP008,19,227,,False,2025-10-20,Active
P00054,TOY-00054-9611,Driftwood Elite Construction Blocks,Toys,Building Sets,Driftwood,23.61,55.99,SUP274,22,201,,False,2024-10-23,Active
P00055,AUT-00055-6305,Timbercrest Max Tire Inflator,Automotive,Tire & Wheel Care,Timbercrest,5.01,8.99,SUP099,18,326,,False,2025-05-22,Active
P00056,BOO-00056-1875,Brightline Elite Popular Science Paperback,Books,Non-Fiction,Brightline,4.39,6.99,SUP060,34,254,,False,2024-08-24,Active
P00057,BEA-00057-4117,Harborlight Pro Facial Moisturizer,Beauty,Skincare,Harborlight,4.59,13.99,SUP138,18,360,388.0,False,2024-05-14,Active
P00058,BEA-00058-4175,Novara Premium Styling Cream,Beauty,Haircare,Novara,7.27,13.99,SUP058,8,349,78.0,False,2024-01-20,Active
P00059,HOM-00059-4569,Kestrel Premium Storage Bin Set,Home & Kitchen,Storage & Organization,Kestrel,12.89,21.99,SUP211,28,175,,False,2026-05-06,Active
P00060,SPO-00060-2655,Sunneva Compact Hiking Backpack,Sports,Outdoor Recreation,Sunneva,7.11,11.99,SUP077,20,213,,False,2024-10-01,Active
P00061,BOO-00061-2211,Driftwood Compact Picture Book,Books,Children's Books,Driftwood,5.37,9.99,SUP295,17,238,,False,2025-06-09,Active
P00062,HOM-00062-9285,Quinley Classic Electric Kettle,Home & Kitchen,Small Appliances,Quinley,5.03,7.99,SUP068,34,382,,False,2025-03-01,Active
P00063,AUT-00063-8630,Comet Pro Steering Wheel Cover,Automotive,Interior Accessories,Comet,38.86,72.99,SUP099,18,104,,False,2024-12-03,Active
P00064,BEA-00064-1476,Ashford Signature Bath Bomb Set,Beauty,Bath & Body,Ashford,7.97,23.99,SUP159,14,355,506.0,False,2026-01-26,Active
P00065,ELE-00065-3745,Ridgeline Premium Video Doorbell,Electronics,Smart Home Devices,Ridgeline,35.21,61.99,SUP003,6,143,,False,2026-04-10,Active
P00066,GRO-00066-2214,Aurelia Everyday Breakfast Bar Box,Grocery,Breakfast Foods,Aurelia,6.03,7.99,SUP004,13,464,381.0,False,2024-06-13,Active
P00067,AUT-00067-1641,Rockridge Advanced Steering Wheel Cover,Automotive,Interior Accessories,Rockridge,29.37,57.99,SUP055,13,199,,False,2024-01-29,Active
P00068,PER-00068-6810,UrbanNest X200 Body Wipes,Personal Care,Personal Hygiene,UrbanNest,3.79,8.99,SUP022,51,249,266.0,True,2024-10-25,Seasonal
P00069,CLO-00069-4232,Comet Premium Ankle Boots,Clothing,Footwear,Comet,9.62,21.99,SUP218,61,202,,False,2024-04-03,Active
P00070,PER-00070-5937,Rockridge Elite Toothbrush 4-Pack,Personal Care,Oral Care,Rockridge,8.37,16.99,SUP261,61,219,430.0,False,2024-01-27,Discontinued
P00071,AUT-00071-3187,Willowbrook Everyday Wheel Cover Set,Automotive,Tire & Wheel Care,Willowbrook,57.65,87.99,SUP115,44,129,,False,2026-01-04,Active
P00072,AUT-00072-7486,Glacier Classic Roof Rack,Automotive,Exterior Accessories,Glacier,6.53,12.99,SUP153,48,221,,True,2024-03-09,Seasonal
P00073,AUT-00073-4667,Comet Lite Socket Wrench Set,Automotive,Tools & Equipment,Comet,10.42,15.99,SUP171,57,232,,False,2024-03-05,Active
P00074,BEA-00074-2072,Willowbrook Max Lipstick Set,Beauty,Makeup,Willowbrook,4.77,11.99,SUP022,53,237,314.0,False,2024-11-20,Active
P00075,TOY-00075-8741,Harborlight Elite Family Board Game,Toys,Board Games & Puzzles,Harborlight,14.6,27.99,SUP136,52,203,,False,2025-06-01,Active
P00076,CLO-00076-3668,Driftwood Premium Wrap Dress,Clothing,Women's Apparel,Driftwood,19.63,31.99,SUP286,33,106,,False,2025-03-31,Discontinued
P00077,SPO-00077-7703,Solstice Deluxe Camping Tent,Sports,Outdoor Recreation,Solstice,150.19,250.99,SUP050,57,69,,False,2025-11-11,Discontinued
P00078,HOM-00078-7168,BlueStone Ultra Air Fryer,Home & Kitchen,Small Appliances,BlueStone,21.98,35.99,SUP022,48,168,,False,2025-11-13,Active
P00079,SPO-00079-3192,Ironclad Essential Adjustable Dumbbell Set,Sports,Fitness Equipment,Ironclad,26.43,53.99,SUP073,25,213,,False,2024-01-16,Active
P00080,PER-00080-3263,Willowbrook Everyday Deodorant 2-Pack,Personal Care,Personal Hygiene,Willowbrook,2.16,3.99,SUP159,12,840,297.0,False,2025-11-27,Active
P00081,GRO-00081-3892,Ostrom Classic Sports Drink Case,Grocery,Beverages,Ostrom,2.77,4.18,SUP261,56,644,113.0,False,2024-02-08,Active
P00082,PER-00082-9033,Halcyon Series 2 Electric Toothbrush,Personal Care,Oral Care,Halcyon,1.98,3.99,SUP097,52,512,254.0,True,2026-04-13,Seasonal
P00083,BEA-00083-4897,Norwell Max Cleansing Foam,Beauty,Skincare,Norwell,8.43,24.99,SUP088,36,187,539.0,False,2024-10-05,Active
P00084,HOM-00084-7688,Solstice Everyday Coffee Maker,Home & Kitchen,Small Appliances,Solstice,14.85,22.99,SUP088,41,145,,False,2026-04-07,Active
P00085,ELE-00085-2453,Harborlight Ultra Fitness Tracker,Electronics,Wearable Tech,Harborlight,69.51,112.99,SUP253,55,102,,True,2026-06-30,Seasonal
P00086,TOY-00086-1685,Timbercrest X200 Backyard Game Set,Toys,Outdoor Play,Timbercrest,7.88,19.99,SUP136,45,200,,False,2024-04-02,Active
P00087,CLO-00087-3564,Foundry Everyday Plus Kids Rain Jacket,Clothing,Kids' Apparel,Foundry,24.24,37.99,SUP084,51,128,,False,2024-12-13,Active
P00088,GRO-00088-2632,Quinley Premium Sparkling Water Case,Grocery,Beverages,Quinley,1.5,2.99,SUP035,31,472,452.0,False,2024-04-12,Active
P00089,BOO-00089-3775,ClearPath Pro Language Learning Workbook,Books,Educational & Reference,ClearPath,1.51,2.99,SUP028,50,445,,True,2026-06-02,Seasonal
P00090,GRO-00090-3534,Timbercrest Max Breakfast Bar Box,Grocery,Breakfast Foods,Timbercrest,4.37,6.99,SUP290,30,364,276.0,False,2025-03-29,Active
P00091,BEA-00091-2699,ClearPath Ultra Lipstick Set,Beauty,Makeup,ClearPath,6.54,11.99,SUP144,21,299,153.0,False,2026-02-02,Active
P00092,AUT-00092-9656,Halcyon X200 Tire Pressure Gauge,Automotive,Tools & Equipment,Halcyon,28.58,39.99,SUP019,14,105,,False,2025-06-21,Active
P00093,SPO-00093-3460,Quinley Ultra Yoga Towel,Sports,Yoga & Wellness,Quinley,7.5,12.99,SUP274,17,407,,False,2026-02-12,Active
P00094,TOY-00094-1183,BlueStone Series 2 Water Blaster,Toys,Outdoor Play,BlueStone,30.47,73.99,SUP280,12,151,,False,2025-06-29,Active
P00095,BOO-00095-4821,Cedarwood Ultra Illustrated Novel,Books,Comics & Graphic Novels,Cedarwood,4.26,7.99,SUP056,8,336,,False,2024-02-14,Active
P00096,PER-00096-7911,Vertex Ultra Protein Powder,Personal Care,Vitamins & Supplements,Vertex,5.11,9.99,SUP080,4,475,265.0,False,2025-03-19,Active
P00097,HOM-00097-8629,Amberfield Advanced Table Lamp,Home & Kitchen,Home Decor,Amberfield,4.24,8.99,SUP286,30,428,,False,2025-08-20,Active
P00098,GRO-00098-4343,Vanture Compact Sparkling Water Case,Grocery,Beverages,Vanture,5.6,8.99,SUP008,21,335,205.0,False,2026-06-13,Active
P00099,ELE-00099-7119,Comet Essential Smart Bulb Kit,Electronics,Smart Home Devices,Comet,15.06,25.99,SUP083,17,248,,False,2026-01-29,Discontinued
P00100,CLO-00100-2256,Novara Premium Wrap Dress,Clothing,Women's Apparel,Novara,9.69,20.99,SUP115,35,230,,True,2025-04-09,Seasonal
P00101,BOO-00101-1602,Halcyon Elite Activity Book,Books,Children's Books,Halcyon,8.75,15.99,SUP222,49,346,,False,2026-01-04,Active
P00102,SPO-00102-7715,Meridian Advanced Yoga Block Set,Sports,Yoga & Wellness,Meridian,10.17,18.99,SUP102,15,146,,False,2026-05-03,Active
P00103,GRO-00103-5574,Quinley Premium Salad Dressing Set,Grocery,Condiments & Sauces,Quinley,2.7,4.99,SUP084,49,411,111.0,True,2026-03-09,Seasonal
P00104,ELE-00104-1030,Palisade Elite Over-Ear Headphones,Electronics,Headphones & Audio,Palisade,12.39,23.99,SUP211,27,233,,False,2026-06-20,Active
P00105,BOO-00105-3113,Palisade Everyday History Hardcover,Books,Non-Fiction,Palisade,6.77,12.99,SUP258,41,408,,False,2024-11-23,Active
P00106,PER-00106-4521,Comet Essential Grooming Kit,Personal Care,Shaving & Grooming,Comet,12.95,22.99,SUP022,57,268,355.0,True,2025-02-08,Seasonal
P00107,GRO-00107-1011,Sunneva Premium Granola Bites,Grocery,Snacks,Sunneva,7.1,10.99,SUP028,52,423,198.0,False,2024-01-14,Active
P00108,HOM-00108-3743,Meridian Compact Area Rug,Home & Kitchen,Home Decor,Meridian,7.81,12.99,SUP185,14,233,,True,2024-05-01,Seasonal
P00109,GRO-00109-6088,Everline Advanced Protein Bar Box,Grocery,Snacks,Everline,2.3,3.64,SUP080,5,781,124.0,True,2026-01-14,Seasonal
P00110,BEA-00110-1415,ClearPath Signature Hair Mask,Beauty,Haircare,ClearPath,12.08,30.99,SUP190,58,154,168.0,False,2024-10-24,Active
P00111,GRO-00111-2791,Foundry Premium Trail Mix,Grocery,Snacks,Foundry,5.31,8.99,SUP034,46,268,254.0,False,2025-02-04,Active
P00112,GRO-00112-6076,Amberfield Advanced Herbal Tea Sampler,Grocery,Beverages,Amberfield,9.58,12.99,SUP241,26,254,332.0,False,2024-11-22,Active
P00113,BOO-00113-6822,Everline Premium Language Learning Workbook,Books,Educational & Reference,Everline,7.38,11.99,SUP082,11,227,,False,2026-04-25,Active
P00114,GRO-00114-6994,Everline X200 Trail Mix,Grocery,Snacks,Everline,3.74,5.99,SUP084,48,263,397.0,False,2026-03-21,Discontinued
P00115,BEA-00115-3346,BlueStone Elite Lipstick Set,Beauty,Makeup,BlueStone,8.67,24.99,SUP036,24,309,84.0,False,2025-11-05,Active
P00116,ELE-00116-2209,Everline Deluxe Lens Filter Set,Electronics,Cameras & Accessories,Everline,139.18,258.99,SUP051,32,55,,True,2026-05-27,Seasonal
P00117,PER-00117-3178,Ostrom Pro Blood Pressure Monitor,Personal Care,Health Monitoring,Ostrom,7.55,11.99,SUP171,54,406,81.0,True,2025-05-13,Seasonal
P00118,BEA-00118-6003,Meridian Pro Hair Mask,Beauty,Haircare,Meridian,9.61,25.99,SUP164,24,369,376.0,False,2024-06-03,Active
P00119,GRO-00119-6316,BlueStone Premium Herbal Tea Sampler,Grocery,Beverages,BlueStone,3.24,5.99,SUP247,7,648,215.0,False,2025-08-01,Active
P00120,ELE-00120-9548,Cedarwood Max Phone Case,Electronics,Mobile Accessories,Cedarwood,18.89,29.99,SUP171,60,182,,False,2024-01-19,Active
P00121,BOO-00121-6315,NorthPoint Pro Bedtime Stories Collection,Books,Children's Books,NorthPoint,5.07,9.99,SUP115,37,310,,False,2025-01-17,Active
P00122,AUT-00122-8020,Silverpine Ultra Bluetooth Car Adapter,Automotive,Car Electronics,Silverpine,8.58,12.99,SUP241,21,386,,False,2026-01-27,Active
P00123,ELE-00123-8637,NorthPoint Compact Bluetooth Speaker,Electronics,Headphones & Audio,NorthPoint,50.33,69.99,SUP008,22,94,,True,2024-06-13,Seasonal
P00124,HOM-00124-4985,Foundry X200 Weighted Blanket,Home & Kitchen,Bedding & Linens,Foundry,10.08,20.99,SUP200,57,228,,False,2025-05-24,Active
P00125,HOM-00125-2784,Copperfield Lite Air Fryer,Home & Kitchen,Small Appliances,Copperfield,63.07,96.99,SUP159,15,103,,False,2025-12-09,Active
P00126,BOO-00126-2859,Ashford Compact History Hardcover,Books,Non-Fiction,Ashford,10.53,19.99,SUP052,50,277,,False,2025-11-16,Active
P00127,PER-00127-9881,Ridgeline Lite Grooming Kit,Personal Care,Shaving & Grooming,Ridgeline,7.52,13.99,SUP174,23,197,321.0,False,2025-06-23,Active
P00128,BEA-00128-3470,Meridian Everyday Hair Dryer,Beauty,Haircare,Meridian,14.67,23.99,SUP294,33,152,439.0,True,2024-10-29,Seasonal
P00129,GRO-00129-4323,Foundry Premium Protein Bar Box,Grocery,Snacks,Foundry,3.46,5.99,SUP089,26,262,358.0,True,2024-08-08,Seasonal
P00130,TOY-00130-4303,Norwell Advanced Strategy Game,Toys,Board Games & Puzzles,Norwell,12.57,22.99,SUP174,29,148,,False,2024-05-24,Active
P00131,TOY-00131-9728,Kestrel Everyday Card Game,Toys,Board Games & Puzzles,Kestrel,189.81,338.99,SUP117,11,44,,False,2025-11-02,Active
P00132,HOM-00132-2153,Harborlight Compact Stand Mixer,Home & Kitchen,Small Appliances,Harborlight,32.01,67.99,SUP110,8,186,,False,2024-08-29,Discontinued
P00133,HOM-00133-2398,Harborlight Max Cookware Set,Home & Kitchen,Cookware,Harborlight,13.76,23.99,SUP077,21,269,,False,2025-08-15,Active
P00134,GRO-00134-6769,Vanture Lite Oatmeal Packets,Grocery,Breakfast Foods,Vanture,8.99,12.99,SUP053,14,208,247.0,True,2024-02-14,Seasonal
P00135,TOY-00135-9573,Vaultis Elite Model Kit,Toys,Building Sets,Vaultis,2.55,4.99,SUP055,14,363,,True,2024-09-23,Seasonal
P00136,SPO-00136-6740,UrbanNest Essential Foam Roller,Sports,Fitness Equipment,UrbanNest,18.16,26.99,SUP225,51,263,,False,2024-12-17,Active
P00137,SPO-00137-9675,Brightline Series 2 Adjustable Dumbbell Set,Sports,Fitness Equipment,Brightline,28.82,58.99,SUP083,21,170,,False,2025-12-05,Active
P00138,AUT-00138-5572,Vanture Ultra Steering Wheel Cover,Automotive,Interior Accessories,Vanture,2.42,3.99,SUP158,23,568,,False,2024-03-31,Active
P00139,GRO-00139-3613,Vaultis Everyday Plus Granola Bites,Grocery,Snacks,Vaultis,4.58,6.99,SUP052,58,553,318.0,False,2025-03-04,Active
P00140,GRO-00140-2597,Cedarwood X200 Salad Dressing Set,Grocery,Condiments & Sauces,Cedarwood,11.93,15.99,SUP052,55,322,428.0,False,2025-02-26,Active
P00141,ELE-00141-2828,Kestrel Series 2 Tripod Kit,Electronics,Cameras & Accessories,Kestrel,30.51,63.99,SUP164,24,93,,False,2024-10-20,Active
P00142,AUT-00142-8433,Novara Compact Floor Mat Set,Automotive,Interior Accessories,Novara,23.99,37.99,SUP164,21,176,,False,2025-12-29,Discontinued
P00143,BOO-00143-6426,ClearPath Ultra Bedtime Stories Collection,Books,Children's Books,ClearPath,5.64,10.99,SUP150,42,407,,False,2026-06-13,Active
P00144,GRO-00144-8713,ClearPath Max Pasta Sauce Jar,Grocery,Condiments & Sauces,ClearPath,4.28,5.99,SUP196,40,534,116.0,False,2024-02-13,Active
P00145,ELE-00145-2235,Everline Signature Lens Filter Set,Electronics,Cameras & Accessories,Everline,31.75,56.99,SUP174,30,135,,False,2026-04-30,Active
P00146,SPO-00146-2931,Glacier Deluxe Yoga Block Set,Sports,Yoga & Wellness,Glacier,23.04,43.99,SUP046,19,186,,False,2026-03-28,Active
P00147,TOY-00147-3655,Vaultis Everyday Plus STEM Building Kit,Toys,Educational Toys,Vaultis,2.52,6.99,SUP016,34,477,,False,2026-02-07,Active
P00148,SPO-00148-7443,Willowbrook Signature Basketball,Sports,Team Sports Gear,Willowbrook,8.25,17.99,SUP068,31,260,,False,2024-04-22,Active
P00149,HOM-00149-9845,Palisade Classic Cast Iron Skillet,Home & Kitchen,Cookware,Palisade,26.49,45.99,SUP115,45,158,,False,2024-12-19,Active
P00150,PER-00150-6977,Quinley Essential Digital Thermometer,Personal Care,Health Monitoring,Quinley,9.17,17.99,SUP050,59,202,71.0,False,2025-08-21,Active
P00151,TOY-00151-7883,BlueStone Deluxe Model Kit,Toys,Building Sets,BlueStone,22.1,36.99,SUP143,54,206,,False,2024-07-05,Active
P00152,SPO-00152-8634,Everline Lite Resistance Bands Set,Sports,Fitness Equipment,Everline,23.8,44.99,SUP012,28,158,,False,2024-08-07,Active
P00153,SPO-00153-8163,Meridian Deluxe Adjustable Dumbbell Set,Sports,Fitness Equipment,Meridian,10.81,24.99,SUP139,13,318,,True,2025-05-28,Seasonal
P00154,PER-00154-3663,Fernwood Essential Digital Thermometer,Personal Care,Health Monitoring,Fernwood,4.31,7.99,SUP093,19,505,320.0,False,2026-02-09,Active
P00155,PER-00155-8860,Sunneva Deluxe Cotton Swabs Bulk,Personal Care,Personal Hygiene,Sunneva,7.9,12.99,SUP285,17,306,447.0,False,2024-05-28,Active
P00156,BOO-00156-9320,Palisade Classic Activity Book,Books,Children's Books,Palisade,3.68,6.99,SUP262,14,514,,False,2024-01-10,Active
P00157,BEA-00157-7203,Aurelia Premium Bath Bomb Set,Beauty,Bath & Body,Aurelia,10.9,24.99,SUP277,62,316,116.0,False,2026-06-27,Active
P00158,BEA-00158-2405,Vaultis Advanced Vitamin C Serum,Beauty,Skincare,Vaultis,7.36,12.99,SUP185,16,260,68.0,False,2025-01-19,Active
P00159,TOY-00159-7449,Quinley Ultra Card Game,Toys,Board Games & Puzzles,Quinley,9.72,17.99,SUP290,29,310,,False,2024-03-10,Active
P00160,BOO-00160-5598,Halcyon Deluxe Literary Fiction Hardcover,Books,Fiction,Halcyon,7.28,11.99,SUP042,20,415,,False,2026-05-27,Active
P00161,ELE-00161-7592,Halcyon Essential Sleep Tracker Ring,Electronics,Wearable Tech,Halcyon,132.6,248.99,SUP159,15,37,,False,2024-09-06,Active
P00162,HOM-00162-1405,Vanture X200 Cast Iron Skillet,Home & Kitchen,Cookware,Vanture,3.56,7.99,SUP215,13,450,,False,2024-04-12,Active
P00163,PER-00163-4522,Driftwood Signature Deodorant 2-Pack,Personal Care,Personal Hygiene,Driftwood,3.87,6.99,SUP143,44,299,528.0,False,2025-09-01,Active
P00164,AUT-00164-5769,Silverpine Essential Dash Cam,Automotive,Car Electronics,Silverpine,44.95,64.99,SUP052,53,101,,False,2025-11-24,Active
P00165,PER-00165-1901,BlueStone Everyday Protein Powder,Personal Care,Vitamins & Supplements,BlueStone,4.53,7.99,SUP180,20,506,227.0,False,2024-04-25,Active
P00166,BEA-00166-5541,Halcyon Elite Eau de Parfum,Beauty,Fragrances,Halcyon,1.71,3.99,SUP290,29,501,350.0,False,2025-10-24,Active
P00167,TOY-00167-6489,Harborlight Max Magnetic Tile Set,Toys,Building Sets,Harborlight,18.8,41.99,SUP155,37,109,,False,2024-12-10,Active
P00168,AUT-00168-6274,NorthPoint Premium Tire Pressure Gauge,Automotive,Tools & Equipment,NorthPoint,17.88,25.99,SUP058,8,151,,False,2024-10-18,Active
P00169,GRO-00169-8198,Driftwood Series 2 Oatmeal Packets,Grocery,Breakfast Foods,Driftwood,2.56,3.99,SUP012,31,670,319.0,True,2025-08-31,Seasonal
